Source,Destination,Distance,Fuel Consumption,Cost
SMF,LAS,1887,9267.66,33926.55
DEN,CVG,2300,10447.89,39774.21
TUS,OMA,1465,6939.81,27632.27
GRR,RDU,953,4413.42,16211.06
BOI,PVD,585,3179.89,12205.77
ORD,MSY,1797,9062.48,37059.22
SYR,ELP,2960,14249.23,60712.62
ROC,SFO,792,4206.63,15311.08
TPA,MCO,2837,14679.34,57092.51
MSP,EWR,324,1556.7,6260.51
LIH,BUR,2566,11885.83,42890.04
MKE,PDX,368,1847.82,7546.16
EWR,DAL,1710,8764.83,36350.05
CLT,OAK,3276,15408.13,60433.93
OKC,BOS,2247,10346.71,42500.69
SAN,SJU,853,4418.65,19316.34
SJU,GSO,1198,5765.85,21255.14
TUL,RDU,2094,10939.05,47630.4
MSY,SNA,2126,11293.25,41790.52
LIH,SDF,2761,13469.59,56129.69
HOU,SFO,2197,10498.83,38674.91
MKE,MDW,744,3942.11,14665.83
BWI,OKC,398,2042.55,8820.03
TPA,ROC,336,1847.05,7154.39
DFW,ATL,2096,10309.75,37200.26
EWR,OAK,2054,9463.67,38841.1
MDW,SFO,920,4284.99,17342.53
BOS,HNL,804,4296.67,18198.79
RIC,BDL,2622,11877.45,47236.91
SYR,IAD,1408,7434.77,28725.77
MDW,FLL,3147,16226.63,60496.88
LGA,SAT,1615,8526.76,32456.16
TPA,OMA,1499,7869.12,32688.83
PHX,SJU,444,2037.58,8724.25
MIA,TUS,1666,8997.66,34412.88
OMA,BDL,1018,4770.11,17951.6
BDL,ROC,462,2449.89,10334.6
DEN,CHS,2709,14609.0,63032.92
RNO,DFW,382,2031.73,7450.4
OGG,BDL,1429,6697.23,28831.61
DCA,SAT,464,2129.19,8214.09
OMA,PIT,1967,9858.48,40524.61
PVD,BUF,2805,13714.97,55102.37
ANC,SFO,3481,16745.56,70711.45
SJU,OMA,1213,6487.64,24436.21
DAL,SLC,1976,9642.79,35576.63
PIT,MDW,748,3765.51,15891.46
SAN,JFK,2941,15132.52,60587.51
ATL,IND,552,2984.62,12103.65
ORD,SAT,3045,14606.26,52842.93
GRR,RSW,1100,5676.54,23185.95
MIA,BDL,1702,8265.66,34225.01
MDW,SNA,2019,9634.59,34915.47
SYR,LAX,942,4320.84,18957.36
FLL,SYR,2255,11951.66,48898.06
OAK,DTW,1538,7569.42,29437.79
LAX,DEN,878,4738.6,19972.58
JAX,HOU,2378,11535.51,48213.41
DCA,OGG,3104,14581.87,59211.64
ALB,ONT,1031,4854.69,18983.32
CHS,TPA,513,2673.98,10731.29
EWR,SAN,1917,9425.99,39946.05
ROC,IAH,2179,11414.69,46629.6
OMA,AUS,2757,13827.65,52553.41
HOU,MIA,1638,7891.77,31202.24
OKC,SEA,1185,5901.19,21549.21
BWI,RDU,2923,15325.22,66796.61
PBI,RIC,1919,9917.55,40645.21
LGA,JFK,823,4320.84,18427.79
IAD,BUF,1025,5586.98,20459.84
DTW,DEN,1189,5502.53,22897.0
TPA,BOS,1770,9075.91,35066.9
SEA,ROC,2860,13820.62,55064.68
DFW,SAN,1434,6748.63,24616.19
ALB,DTW,2480,13347.79,52767.51
SJU,OMA,2830,15321.45,56044.86
ORF,DFW,3118,16248.39,63921.03
GSO,ORD,2573,12392.6,48242.09
OKC,SFO,2702,13811.55,58458.07
HOU,DCA,1270,6717.17,25326.22
BOS,LAX,892,4121.35,16481.81
RSW,MHT,1511,7406.41,27715.52
DCA,BOS,2707,13451.61,53427.6
RSW,MIA,1831,9329.42,35715.6
GSO,SDF,3206,17455.91,72488.09
MIA,SJU,422,2213.63,9515.48
EWR,BOS,3067,15733.87,62047.29
TUL,FLL,3410,17670.82,68235.06
MHT,CLE,2405,11075.48,43170.03
RIC,OKC,881,4088.01,15831.43
PDX,SAN,601,3122.13,11617.28
SEA,STL,336,1743.24,7655.63
RIC,SNA,565,2952.9,12244.01
ATL,HNL,2494,13527.27,53382.38
DCA,SAT,956,4745.13,19696.11
RNO,IAH,605,3096.04,11406.0
SEA,ROC,3307,17425.96,65726.12
TUS,SYR,2497,11719.27,47837.83
TUS,FLL,2489,13470.83,53666.51
DTW,SAT,2906,14045.25,61149.89
RDU,JFK,1469,6614.17,24123.36
LIH,MKE,3486,17485.54,66930.39
RDU,MSY,2990,15124.58,55062.68
LAX,MCO,989,4589.54,18522.97
HNL,BOI,951,4543.56,18414.94
RSW,BNA,2701,14093.1,51989.09
HOU,SEA,837,4377.62,19129.57
ORF,OGG,3467,16822.82,60774.51
BDL,CLT,1536,7849.33,32090.39
SFO,SNA,478,2617.0,9971.45
AUS,OGG,1260,5680.95,23640.54
OKC,ELP,1786,9468.47,36899.9
IAD,BUR,495,2274.0,8851.94
BUR,LIH,2352,10825.65,47337.47
RNO,MCI,737,3725.58,14472.48
RSW,IND,1701,8807.55,33382.01
SLC,AUS,447,2035.57,8600.43
ELP,SYR,2821,14238.55,61778.48
STL,ORD,3112,15603.96,62328.83
MSY,BNA,1890,9598.51,35406.58
MKE,SJU,759,4018.13,16019.68
RDU,PHX,3240,16979.6,65359.45
ALB,AUS,2557,12914.3,47024.94
DFW,PVD,1496,7158.25,28771.05
DTW,MSY,2176,10507.62,45187.72
DSM,RSW,541,2876.05,11697.87
HNL,SMF,1374,6254.58,25074.24
DEN,ABQ,1181,5545.63,24292.86
GSO,MDW,1477,7966.7,31008.37
CLE,SLC,3179,15242.08,64202.79
BUR,ELP,2543,11728.67,45750.13
MIA,PVD,456,2064.54,9080.51
ALB,ELP,422,2283.86,9247.68
SEA,AUS,2177,11226.25,45680.23
BUF,FLL,327,1471.97,5733.62
SJU,BUF,645,3207.72,11815.19
SLC,DSM,1289,7061.47,25886.64
LGA,PHX,812,3695.06,15394.17
SYR,BOS,2856,14024.4,55983.62
GSO,AUS,2152,11193.44,42724.79
BUR,ATL,1034,4771.17,20897.55
DSM,BOI,786,3544.38,12807.52
PVD,CHS,1936,8726.26,36413.2
FLL,TPA,3423,18329.36,69704.49
FLL,DCA,2248,11287.63,48796.51
IAH,ORD,2277,10382.11,41788.48
IAH,OGG,1645,7410.27,27827.97
PHX,BDL,1509,8108.71,31789.51
TUL,DAL,3364,15976.5,68705.39
PSP,SDF,1633,7534.65,29590.73
GRR,CLE,1429,6555.28,27025.31
ATL,OGG,2213,10876.44,43444.43
PDX,RSW,2653,12342.71,53081.85
GRR,SAT,2359,12105.7,51889.48
SNA,SEA,3381,16859.34,61545.58
RSW,OKC,3475,16465.23,70885.7
SJU,DTW,2088,9610.69,35204.28
DCA,BDL,2087,11216.19,41677.18
ALB,CLE,1218,6311.34,26696.47
SNA,SLC,983,5328.41,22474.76
OKC,PBI,1878,8452.91,35417.94
MCO,BDL,2797,14504.02,56508.28
ANC,MCO,557,3014.41,11376.3
IAD,SMF,1131,5361.38,22292.61
AUS,SFO,2841,13430.72,59067.57
OGG,AUS,992,4886.22,18269.49
MHT,RSW,1078,5398.46,21479.88
ABQ,ELP,3446,16131.71,59818.08
BOI,SYR,1801,9232.99,33482.93
DSM,BOS,2859,13847.58,50671.51
STL,DFW,1803,9370.7,38620.33
BDL,RIC,2400,11642.49,48283.79
IAH,ALB,1874,9823.28,41138.49
LAX,PHL,968,4589.75,16713.02
SJU,BUF,1691,7768.29,33117.79
TPA,MIA,2704,12842.18,54202.27
FLL,MHT,1681,9220.11,38191.29
OMA,PVD,1474,8092.52,29604.09
FLL,CVG,342,1657.99,6635.25
ANC,LAX,1657,8641.96,33367.39
AUS,IND,3363,17808.41,73452.11
CHS,BNA,2381,11911.9,49264.44
SAN,ELP,364,1787.76,6624.28
TUS,LIH,2477,11324.23,44276.7
MCI,MSY,3218,14782.34,62174.9
SEA,SNA,3184,17263.93,69853.91
FLL,SDF,1705,8159.41,33824.17
PDX,JFK,3421,15910.01,61244.31
SEA,CLT,383,1999.46,7504.3
DAL,RDU,2634,12662.01,55072.38
MSY,MKE,2915,14395.92,57866.12
CHS,OAK,3365,15834.2,58669.6
STL,CHS,855,4016.84,14517.7
SNA,CLT,2340,12741.18,46057.76
DTW,GSO,931,4939.6,21565.41
OMA,DAL,1304,6325.22,27483.33
MSP,DCA,1011,4838.42,20088.07
LIH,CHS,743,4004.08,16855.31
ALB,SLC,2489,12764.54,54870.66
SYR,ELP,1301,6611.16,25443.75
LGA,DEN,2577,12194.65,45554.45
SFO,ALB,2829,13760.79,55596.39
PHL,SMF,685,3448.74,14739.6
SLC,OGG,629,3396.73,14439.71
ATL,LAS,2216,10963.62,47245.26
DSM,BWI,417,2098.73,7982.3
OAK,OKC,709,3414.61,14243.18
RNO,OMA,3347,18207.5,72653.27
DCA,SLC,557,3001.06,11756.9
LIH,LGA,1645,7974.42,33603.31
BUF,RIC,574,2682.83,10421.91
BWI,LGA,2139,11126.09,47947.56
SAN,MCI,3188,15882.15,57461.01
TUS,BOS,2498,11843.14,49514.34
RIC,SEA,2888,13576.13,49186.34
SNA,BOS,671,3154.22,11532.75
BOS,RDU,1939,9429.45,36499.23
SJC,DCA,2920,14115.46,62013.16
CHS,GSO,1551,7391.36,29341.48
AUS,OMA,2732,14433.2,60263.56
PBI,ALB,1206,5748.96,22569.25
HNL,ELP,1691,8590.23,37273.9
SMF,BWI,1688,7725.51,32512.74
SJC,FLL,1333,6557.79,24000.43
ATL,OGG,3222,16107.79,67938.69
DFW,MIA,1277,5783.53,24857.57
FLL,ROC,1979,9926.79,43627.66
STL,FLL,1245,6527.65,24302.73
DEN,MSY,1537,7228.04,29291.45
CLE,BUR,2759,13687.87,51434.83
GRR,PHX,3449,15986.74,67475.41
PVD,PHL,2257,11935.13,43226.85
OMA,RIC,355,1757.44,6343.18
HOU,MIA,3029,13681.27,57838.22
SYR,ANC,2945,13971.7,54860.55
SAN,TUS,1498,7680.29,32269.63
LAX,SYR,1703,8780.13,33509.9
GRR,PIT,1204,5557.48,22389.98
OAK,SYR,2518,11807.94,48122.34
MIA,IAH,3387,17260.33,66123.14
RNO,ALB,3414,18345.87,69840.62
PSP,BOI,2899,14702.39,53880.91
JFK,BWI,1005,4785.3,20692.46
SLC,SFO,2474,12895.75,46474.85
MSP,SLC,2646,14291.79,57247.66
DTW,CLT,2781,12917.1,54179.77
RDU,BOI,1759,9670.6,37844.38
DFW,SJC,3422,16384.4,69938.1
BWI,BUR,1477,7044.49,29106.15
LAX,BUF,1752,8915.28,32257.7
SFO,SAT,2477,11195.41,48359.16
JFK,STL,1888,8589.46,35285.1
FLL,CHS,3126,17125.25,73436.65
OKC,ANC,1985,10696.12,38891.58
DSM,ANC,880,4110.87,17831.13
ORF,PIT,1442,7538.54,29669.27
PVD,DAL,790,4253.66,15751.66
JFK,SEA,1504,6822.62,24992.23
LGA,TUS,2527,11503.96,42367.34
ORD,CLE,2367,11005.04,42708.55
MCI,CVG,982,5129.22,21068.08
BWI,ORD,1957,9882.15,40401.22
AUS,MIA,910,4972.95,18858.72
GRR,MCO,1893,9849.15,36218.13
JAX,LIH,2231,11647.8,45353.09
PDX,LAX,2316,10461.78,39710.6
LAX,IAH,3417,17552.89,70946.57
MIA,PIT,354,1772.99,7740.81
GSO,OMA,810,4105.89,15535.76
AUS,SEA,2898,13966.5,59219.95
ROC,STL,2670,12298.17,47583.07
BUF,CVG,3000,14091.75,60376.21
BUR,SDF,1659,8133.77,33510.57
PHX,HNL,1985,9637.19,40247.65
LGA,PIT,633,3374.57,14122.47
MIA,JFK,2351,12207.75,47424.09
EWR,OAK,723,3790.96,16038.43
LIH,GRR,450,2443.34,9685.34
JFK,DEN,2901,13921.0,58470.07
ORD,GSO,611,2896.87,11166.04
PIT,ANC,1811,8831.61,32351.32
MKE,CLE,2459,11516.42,47993.97
BNA,DCA,1731,7890.02,30661.48
GSO,LIH,627,2947.56,12568.55
DFW,IAH,2866,15536.67,66027.89
IAD,BWI,2656,13156.23,49817.23
SAN,JAX,1927,10407.25,39912.15
DCA,ALB,2035,9839.47,35892.23
CHS,DFW,2697,12288.5,50747.77
LAX,BOI,2604,13715.31,51325.52
SJC,DTW,3381,17735.05,68928.61
PIT,SAT,1209,5992.43,26299.52
DSM,CLE,889,4726.0,18276.22
DTW,BDL,2348,11987.76,50495.61
LAS,ELP,2489,13169.16,47836.86
ELP,LIH,3378,18513.61,69665.93
LAS,PDX,2287,11854.54,49505.14
IND,STL,1125,5125.34,20647.41
SEA,MIA,3016,16201.52,68469.5
BOI,SMF,2897,15879.36,62646.07
RSW,DTW,594,2887.45,10403.19
ANC,PHX,2615,13068.87,52019.71
FLL,MSP,3495,17413.57,67155.05
IAD,MSY,2065,9818.03,40108.91
FLL,MCI,2962,14316.37,55721.1
SAT,IAD,1708,8512.53,32190.67
GSO,BUF,2543,13833.75,57579.35
HOU,GRR,404,1873.1,7600.31
LAX,IAH,2562,13082.98,52136.29
ROC,ORF,773,4063.77,17265.75
JAX,MSY,1328,6498.41,26627.38
MCI,PIT,705,3668.4,15812.45
ATL,PSP,1501,7706.25,31229.82
BUF,SYR,966,4634.39,17712.2
SNA,PBI,1572,7326.0,26410.53
CLE,BUF,1944,10218.33,40718.94
JAX,DCA,1620,8568.96,37178.95
SMF,PIT,651,2940.94,12360.54
HNL,LAX,2909,14730.65,56922.42
FLL,OGG,1999,9172.8,39483.98
MSP,BUR,2041,9683.86,38895.66
SFO,LAX,3228,14825.16,57319.44
BDL,TUL,470,2457.31,10446.13
PDX,RSW,2217,10206.19,40904.72
ANC,LAX,324,1704.92,6261.44
GRR,STL,3073,16879.03,69759.03
DFW,OKC,1868,8943.03,38038.8
PHL,SAN,1653,8024.26,29671.08
EWR,STL,710,3899.9,15781.8
JAX,PDX,567,3084.71,13135.92
DFW,ELP,1254,5860.21,24713.28
AUS,RIC,433,2300.1,9794.76
SEA,DTW,405,2027.66,8894.5
BUF,GSO,1298,6875.55,25835.34
DTW,IAH,1826,9250.84,33867.56
BWI,HOU,2548,13644.92,51831.71
MHT,OKC,1027,5006.82,18168.17
RDU,ATL,3469,16390.36,62060.9
JAX,SAT,1832,8309.89,32094.59
LAS,SJC,2700,14222.76,58290.37
HOU,SDF,2286,10839.64,44128.08
BOS,SLC,1051,5259.67,20542.05
STL,MKE,1698,7948.12,30246.0
EWR,STL,2028,10367.8,43337.0
MSP,OAK,3370,15208.32,56429.77
ANC,JFK,853,4547.01,18674.03
SEA,MSY,3237,16883.14,64341.05
DSM,BDL,1036,4720.54,17541.03
LAX,SFO,380,1748.55,7069.51
PDX,MCI,1590,7679.36,28417.53
PHL,HOU,1716,7728.07,28292.12
BNA,MSY,631,3020.87,11751.16
BDL,TUL,3477,16755.8,61253.83
JFK,GRR,2971,13972.46,59589.18
LIH,TUS,2314,11568.64,49277.17
MCO,MSP,1988,10080.61,36626.36
OMA,JFK,3165,16071.99,62826.58
SYR,CLT,2199,11993.12,43412.94
DCA,RSW,1632,7941.67,29063.11
OMA,MSY,1744,8023.37,34433.68
OAK,SYR,2318,12290.53,50595.11
JFK,RNO,2183,10365.16,45373.75
TUL,PHX,519,2755.49,10192.1
MKE,CLE,1780,8666.8,31932.95
SAT,BUF,1617,7318.84,31626.5
SEA,SJU,1563,8346.19,33881.6
FLL,BWI,845,4613.04,19120.53
PBI,ORD,2294,10910.47,45051.88
HNL,SDF,626,3347.15,13014.67
JAX,EWR,2030,10298.95,43948.74
BNA,PVD,2231,11283.14,44893.43
IAH,SMF,3365,17208.02,74905.57
PDX,ABQ,2198,10014.9,39091.31
PHX,SYR,2054,9936.66,43387.95
IND,BOS,2739,12894.34,48677.03
LAS,SLC,946,4606.36,19336.3
ONT,MSP,3004,16131.02,65264.49
RDU,HOU,1049,5672.62,23451.98
RNO,MCI,2297,11794.64,42610.04
BUF,IAD,1941,9495.17,35877.07
PVD,BWI,782,3544.03,15011.9
MCO,OGG,1237,5942.49,24446.77
OGG,DSM,1729,8163.42,34569.83
SAN,RIC,1841,8797.47,35699.97
SAN,TUL,836,3827.45,15603.96
SMF,LAS,2088,11129.93,41192.92
MCO,IAD,700,3222.28,13805.83
IAD,DEN,1557,8389.61,34321.78
BWI,JAX,2673,13477.92,55339.76
BOI,BNA,3092,16479.11,61784.23
CHS,CLT,1891,9420.43,37364.27
ONT,SNA,1527,8382.81,32640.79
OGG,DSM,3399,18132.57,68157.25
FLL,TPA,1186,6035.67,26009.58
BOI,MKE,2032,10390.13,45387.79
LGA,SFO,3482,18636.44,81179.99
SEA,CVG,2793,13268.0,54743.44
ORF,PHL,1396,6707.03,28910.37
EWR,HNL,335,1595.13,5805.78
GRR,CHS,2710,12416.65,53495.74
SAN,ORF,2856,14994.61,54309.74
PHX,ORD,2136,9829.22,38422.2
MIA,DAL,1863,8876.7,39013.96
BOS,LAX,1937,9261.37,33633.61
SAN,BDL,1956,9312.75,39256.26
BUF,JAX,2219,10812.98,45739.14
TUL,RIC,1231,6043.22,25521.3
BWI,RNO,2004,9229.1,33588.13
MSY,TUS,856,4245.94,16246.73
BUF,SNA,566,2557.36,10242.0
RNO,EWR,2333,12266.88,47777.7
SLC,MKE,671,3305.18,12479.91
OGG,MIA,445,2179.71,8810.79
ROC,ABQ,2294,11404.38,45605.53
ROC,FLL,336,1806.99,7234.35
EWR,SEA,1979,10602.45,44983.61
TPA,TUS,819,4187.08,16352.62
MSP,MCO,1807,8345.24,35922.8
CVG,MIA,856,4599.67,19609.45
OMA,RIC,364,1840.58,7528.34
RIC,DEN,1004,5477.74,20791.7
SEA,AUS,1298,6325.42,27223.53
ROC,HNL,1838,8614.31,35754.25
CLE,MKE,2101,11124.03,43342.13
LGA,HOU,3031,14796.91,60431.87
BUR,PHL,747,3407.15,14576.66
SNA,ORD,1758,8286.4,31899.44
ATL,MCI,2081,9416.91,39514.13
HNL,OMA,1197,6338.24,23593.56
CLE,DTW,1122,5267.45,22943.1
SFO,ONT,2014,9713.89,40671.38
RIC,GSO,801,3640.67,15447.21
CVG,PSP,3410,17428.37,75382.64
ATL,BNA,443,2008.94,8296.39
STL,MHT,1703,8741.53,35653.8
LIH,HOU,1896,10297.16,41803.29
MDW,SAT,2863,14353.27,61264.46
SJU,PBI,1321,6417.6,24008.94
MIA,CVG,1954,10678.53,39046.46
SYR,SNA,2122,10615.84,40594.69
IND,TUS,2323,11113.85,43499.29
RNO,IAH,3266,16113.68,68042.72
RIC,DSM,3335,16599.61,67785.29
OKC,ABQ,2258,11621.42,43632.32
PHX,RDU,1529,7828.98,28288.25
MCI,LIH,3344,15406.51,62623.56
GSO,SJU,646,3310.01,14209.74
OGG,ROC,3093,15121.77,64091.88
ANC,EWR,2092,10235.27,43224.06
ATL,IAD,2877,15273.35,62842.05
ELP,MSY,2924,15224.22,64693.87
LIH,ANC,3033,14933.84,65270.27
ORF,ROC,3067,15848.36,66376.88
HNL,TUS,1419,6778.71,25836.78
CHS,BOS,1255,5941.08,24959.02
CVG,SLC,3273,16964.35,71563.85
SLC,RDU,1845,9870.62,41207.05
MHT,BUR,602,3098.77,11367.25
MCO,MKE,1039,4712.35,17262.92
DEN,ANC,2491,11732.07,43899.81
LAX,PSP,1443,7447.36,31305.79
PIT,ROC,2226,11601.64,47320.63
SEA,ALB,2512,13565.09,55001.1
STL,BWI,1246,6668.91,27633.97
LGA,PIT,938,4957.42,18015.41
LIH,DCA,3320,17825.49,71548.92
ANC,OKC,2313,11535.36,42791.07
ABQ,SJU,2201,10920.73,44340.86
MIA,ELP,842,4376.89,16163.89
OAK,SJC,2177,11378.13,41183.63
OGG,BOS,2710,12972.25,51049.38
SAN,SAT,1098,5238.1,21838.55
BUF,FLL,2187,10353.84,44529.98
OAK,SAN,2873,13263.32,51632.26
TPA,ONT,3410,17362.54,72447.34
SEA,DFW,340,1704.93,6959.7
LIH,DFW,1765,9302.23,33548.15
EWR,AUS,2258,10569.99,38948.71
PVD,HNL,2160,11529.95,47005.14
LAX,OMA,1781,9130.37,34816.85
MSP,BUR,985,5148.47,19156.48
GSO,PBI,2250,12298.07,51159.51
MCI,SEA,402,2102.51,8048.34
PBI,LAS,3304,16934.67,73977.39
TPA,ORD,3383,17293.04,69877.81
LAX,SAN,3239,17780.1,73793.24
BUR,PHX,2325,11255.14,43591.7
DAL,TUL,3276,17471.43,70927.2
ORD,MSY,2500,11431.77,47441.7
SDF,LGA,2562,12989.78,53347.24
ORF,SMF,1384,6330.59,25346.8
RNO,LAX,426,2337.29,8438.51
OKC,MIA,2271,11498.03,49094.23
IND,MKE,3064,15388.72,58549.56
EWR,MDW,1947,9596.31,37900.18
ABQ,SJU,2340,11668.26,42933.38
PDX,ROC,2814,13695.62,52089.99
OKC,SJC,2554,12036.43,44921.46
MDW,CLE,3215,15919.14,67929.14
MDW,DTW,624,3413.59,12675.75
PIT,OGG,1131,5855.67,25128.23
IND,RNO,2093,10915.14,39779.81
HNL,OAK,2403,11014.4,43980.06
SFO,MDW,1719,8394.61,36637.99
DCA,STL,3368,17134.74,70594.6
PHX,BUR,683,3581.19,13728.14
DEN,DFW,968,4668.89,17295.66
PDX,MHT,1935,10274.79,39234.55
SNA,GRR,474,2434.03,10101.94
DAL,PHL,431,1967.03,7514.9
CLT,BOI,840,4189.04,17471.18
BUR,MSP,929,4450.0,17261.3
ORD,PVD,2611,13083.24,48907.62
BUF,GSO,3084,16095.12,58703.56
OMA,MIA,1904,8724.05,37080.37
BUF,SEA,890,4184.68,15486.26
DCA,RSW,1598,7271.25,29628.59
SLC,PBI,2038,10790.29,44140.02
ABQ,BNA,2612,11977.58,52210.99
BNA,SFO,1190,6505.16,28516.34
TPA,JFK,808,4311.96,17837.51
TUL,MSP,3444,15816.39,64714.6
HOU,PVD,1668,8082.36,33246.99
SJC,LGA,3270,15210.85,66432.65
PHX,SEA,1601,8123.85,33601.95
ORF,IAD,554,2493.65,9892.14
PHL,OKC,3141,15770.11,66772.27
SJC,DTW,1609,8433.47,33150.21
DAL,HNL,3386,16301.88,68375.12
ORF,SNA,2861,13217.49,50326.09
ELP,BNA,2103,10298.47,40479.34
SEA,ALB,2209,11596.06,48136.18
DSM,DCA,950,4742.34,19642.78
STL,ORD,2390,11685.6,43426.59
MKE,HNL,2568,13222.6,56180.1
BDL,PHX,2265,11247.48,48834.46
TUS,SJU,850,4391.62,19286.15
HNL,AUS,3062,14609.31,58274.34
CLT,MIA,1888,8953.99,37458.73
HNL,BNA,2951,14912.89,64191.54
LGA,OKC,2793,14081.29,55113.84
LGA,IAD,2481,11721.38,45485.18
CVG,OKC,300,1588.56,6493.02
ATL,SFO,2672,14250.35,57392.91
JFK,LGA,1987,9369.78,38804.21
ABQ,OGG,1505,7777.78,30342.56
RDU,AUS,752,4093.46,14960.03
MHT,RIC,1711,8276.29,33869.96
MCI,LGA,1067,5233.86,22460.46
TUL,CVG,3394,17325.76,71644.65
ATL,MIA,2228,11559.3,44652.81
DEN,PHL,3141,15759.8,60851.02
SJC,PBI,460,2071.15,9006.43
STL,PDX,1657,7924.6,34672.85
LIH,OMA,2692,13825.41,56419.92
PBI,SMF,2842,14006.46,58471.92
ORF,LIH,3001,14944.06,64738.51
PHL,MHT,2120,10934.78,40110.91
ORD,RNO,1692,7993.22,31174.03
DAL,SJU,718,3544.86,15107.99
GSO,STL,403,1844.1,8016.76
DCA,SFO,2909,15021.97,64581.3
OAK,HNL,2553,12802.01,51349.72
MKE,MIA,1515,7976.26,30615.77
CHS,JFK,2779,14016.4,61442.19
GRR,FLL,1910,9577.31,38773.75
PHL,SMF,2584,12650.59,55523.43
MSY,SLC,552,2812.85,10325.58
RIC,FLL,1501,6883.76,26746.94
SFO,ANC,2064,11234.37,42585.26
HOU,LAX,508,2471.49,9617.52
BNA,MCO,2206,11446.86,46815.07
MHT,ORD,2660,12834.86,48927.87
DSM,ANC,1576,7177.76,26965.55
BOI,RIC,1079,5208.27,21693.26
BNA,RNO,436,2254.01,8518.9
TPA,ONT,1571,7137.36,27367.59
CLT,PDX,901,4700.53,20077.88
DTW,AUS,1760,8878.62,35102.14
IAD,OAK,2436,11502.86,50236.4
